flat_type,flat_price,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking
3,6.25,52,1550,3,1,3,3,0,2
3,6.5,53,1365,1,1,3,3,0,1
3,3.75,19,1500,1,2,3,2,4,1
2,1.44,29,1050,1,2,2,2,0,1
1,1.14,7,570,4,3,1,2,0,2
3,2.7,51,1250,4,1,3,3,3,1
1,1.0,15,525,4,2,1,2,0,1
2,3.15,28,950,3,3,2,2,0,1
2,2.5,7,1070,1,1,2,2,0,1
4,2.1,15,1320,4,1,4,2,0,1
2,1.72,6,628,3,2,2,2,0,1
3,6.75,30,1500,1,3,3,1,0,1
1,1.55,14,600,1,1,1,2,0,1
2,6.0,30,1200,4,2,2,2,0,1
3,6.0,28,2200,1,3,3,3,3,1
3,1.9,15,1150,4,1,3,3,0,1
2,1.8,29,1020,1,1,2,2,0,1
3,3.25,28,1500,1,2,3,4,1,1
3,1.9,21,1350,1,1,3,2,1,1
1,0.8,3,450,3,1,1,2,0,2
2,2.0,14,950,3,2,2,2,0,1
2,1.0,5,650,1,3,2,2,1,1
2,9.25,54,1400,2,3,2,3,2,1
2,0.42,18,750,1,1,2,2,3,1
3,2.08,20,988,3,2,3,3,3,1
2,2.25,8,950,3,3,2,2,0,1
2,1.8,14,750,1,2,2,2,0,1
1,1.15,31,630,4,1,1,1,0,2
2,1.4,51,1050,1,1,2,2,0,1
1,0.29,18,650,1,1,1,1,2,1
3,6.5,53,1850,1,3,3,3,0,1
3,6.8,44,2500,1,1,3,3,0,1
2,2.35,28,950,2,3,2,2,0,1
2,2.0,6,740,1,1,2,2,0,1
3,3.35,6,1750,1,1,3,3,3,1
2,1.85,15,1010,1,2,2,2,0,1
3,2.35,33,1700,1,1,3,3,1,1
4,8.4,55,2140,3,2,4,4,0,1
2,2.5,25,880,1,1,2,2,0,1
2,0.55,18,830,1,3,2,2,3,1
2,3.1,23,1000,1,1,2,2,1,1
2,1.55,2,630,3,2,2,2,0,1
1,1.05,8,600,4,2,1,2,0,2
3,1.5,1,1500,1,1,3,3,1,1
3,4.5,28,1800,4,1,3,3,3,1
6,9.0,2,2700,3,1,6,6,0,1
3,2.6,21,1250,1,1,3,2,3,1
2,2.7,35,700,2,1,2,2,0,1
1,0.6,1,650,4,2,1,1,0,1
3,3.25,3,1210,1,1,3,4,1,1
1,1.15,22,720,1,3,1,2,3,1
2,1.8,49,560,1,1,2,2,0,1
2,2.99,7,1150,3,1,2,2,2,1
2,1.4,9,950,1,1,2,3,0,1
1,0.27,36,575,3,2,1,1,3,1
2,2.55,14,820,1,2,2,1,0,1
1,1.3,14,750,3,1,1,2,0,1
2,1.7,4,955,1,2,2,2,0,1
3,4.7,28,1556,4,3,3,3,2,1
2,1.0,1,1150,1,1,2,3,0,1
1,0.65,1,600,4,1,1,2,1,1
2,1.55,40,1000,4,1,2,1,0,1
3,5.0,23,1023,1,1,3,3,2,1
3,2.35,29,1100,4,1,3,3,0,1
3,4.5,2,1200,3,2,3,3,0,1
1,0.88,56,650,3,1,1,1,0,1
1,1.28,4,520,1,1,1,1,0,1
4,8.5,30,1800,4,1,4,4,0,1
2,3.7,7,1050,1,3,2,2,0,1
